"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"LGMN",1.40759361691896e-45,-0.274473002174876,0.027,0.124,4.74274593284674e-41
"RNU12",1.59863356474462e-45,0.704121596831888,0.493,0.306,5.38643593305052e-41
"NOL7",1.68976336603996e-45,-0.393756514355013,0.346,0.595,5.69348868553505e-41
"SSRP1",1.75458208686496e-45,-0.348297081236769,0.23,0.461,5.9118888834828e-41
"OTUD1",1.78393271130842e-45,0.842248672681918,0.472,0.284,6.01078287748259e-41
"PXDN",1.82167282733311e-45,-0.288710157708936,0.028,0.127,6.13794442441617e-41
"HNRNPA0",2.61348645833316e-45,-0.419315534673227,0.393,0.639,8.80588127270774e-41
"SIVA1",2.69738908141401e-45,-0.450911877183642,0.346,0.596,9.08858277091636e-41
"CPT1A",3.50627506123037e-45,-0.305874642479648,0.212,0.444,1.18140431913096e-40
"KCNH2",4.05962468136254e-45,-0.445698170695332,0.038,0.147,1.3678499401383e-40
"REXO2",4.40055472573591e-45,-0.424437544630427,0.172,0.369,1.48272290928946e-40
"HNRNPL",4.4883230351215e-45,-0.352091110190757,0.268,0.518,1.51229556345384e-40
"CCT2",5.02107126063405e-45,-0.407455942707541,0.308,0.545,1.69179975055804e-40
"VCP",5.27962967942567e-45,-0.363054758959141,0.319,0.582,1.77891842418569e-40
"OSTC",7.66666149157636e-45,-0.400946775737389,0.351,0.596,2.58320492297174e-40
"STIP1",8.35339809345538e-45,-0.256367469273877,0.176,0.383,2.81459395360886e-40
"TMPO",1.2409147077832e-44,-0.450197495715886,0.281,0.518,4.1811380164047e-40
"CHST12",1.38569338176838e-44,-0.301169901939647,0.162,0.359,4.66895528053037e-40
"PAFAH1B3",1.81358826464642e-44,-0.271297516938059,0.183,0.393,6.11070429889966e-40
"STX11",2.00027541057832e-44,0.561191203321997,0.475,0.263,6.73972796840258e-40
"CCNB1",2.11430792117043e-44,-0.325416678959493,0.051,0.17,7.12394910959164e-40
"GYPC",2.27275337718067e-44,-0.570870455350766,0.379,0.605,7.65781522907255e-40
"ACAP1",2.48154532512582e-44,-0.410766237002037,0.234,0.449,8.36131881847895e-40
"RRM2",3.67974987952026e-44,-0.304886912876867,0.04,0.149,1.23985492440556e-39
"ADAP2",4.40539578743354e-44,0.543696869057412,0.355,0.152,1.48435405661786e-39
"CDK1",4.54843539120505e-44,-0.265361940212286,0.045,0.16,1.53254982071263e-39
"MLEC",5.37566110182661e-44,-0.339304603771653,0.251,0.479,1.81127525164946e-39
"CSNK1G2",7.42542705541716e-44,-0.259156392781652,0.178,0.386,2.50192339205226e-39
"LMAN1",8.89179290393506e-44,-0.269930688866259,0.183,0.392,2.99600070105188e-39
"FBXL5",9.3840175313082e-44,0.614600193314045,0.558,0.403,3.16185086699898e-39
"GBP2",1.04526062510986e-43,0.58964299001034,0.468,0.263,3.52190115024517e-39
"CCND2",1.48478134318304e-43,-0.298847667415933,0.169,0.363,5.00282225772094e-39
"GLS",1.49988464603722e-43,-0.358361799689799,0.215,0.442,5.0537113263578e-39
"TRA2A",3.80346188754274e-43,-0.42575214904244,0.304,0.557,1.28153844838865e-38
"CYFIP2",4.50987003835106e-43,-0.333808253121402,0.136,0.312,1.519555610722e-38
"MIF",4.54730269798787e-43,-0.495298674033676,0.438,0.643,1.53216817106003e-38
"PRKAR2B",6.08571480481113e-43,-0.285496726090554,0.086,0.232,2.05052074633306e-38
"IL13RA1",6.11576179722094e-43,0.532726634095206,0.352,0.155,2.06064477995562e-38
"SLC39A3",6.51788720396735e-43,-0.358157493824643,0.208,0.412,2.19613691450476e-38
"PPM1G",7.54645770869857e-43,-0.393559461601464,0.317,0.556,2.5427034603689e-38
"TIMP2",9.20063290539227e-43,0.553986084347022,0.55,0.377,3.10006125114287e-38
"DOK2",1.16640786777178e-42,0.5346389592199,0.433,0.232,3.93009466967022e-38
"HINT1",1.34931963427023e-42,-0.50245379494596,0.735,0.805,4.54639757571011e-38
"MIDN",1.3857103168403e-42,0.534294909700928,0.643,0.489,4.6690123415617e-38
"HCK",1.44257577156808e-42,0.505651087133427,0.405,0.198,4.86061480472148e-38
"FUBP1",1.46452671147175e-42,-0.251047549301257,0.182,0.39,4.93457630163293e-38
"GCC2",1.46681379601382e-42,-0.285511019864079,0.162,0.357,4.94228240428895e-38
"EGR1",1.74559947975465e-42,0.514620895812235,0.497,0.305,5.88162288708532e-38
"PLA2G16",1.76857961055259e-42,0.545081514662521,0.35,0.154,5.95905213979589e-38
"KMT2A",2.29218321343635e-42,-0.307809910061935,0.217,0.437,7.72328211935245e-38
"SNRPD1",2.76160987111911e-42,-0.507023684138592,0.418,0.623,9.30496829974871e-38
"RPS4X",3.06411033059177e-42,-0.536970385773728,0.991,0.986,1.03242133478959e-37
"RAB32",3.07920937984756e-42,0.587144015630769,0.561,0.426,1.03750880844584e-37
"FDPS",3.39046036382451e-42,-0.325812350841136,0.246,0.473,1.14238171498703e-37
"NDUFC1",6.14578255988578e-42,-0.34614434950015,0.334,0.588,2.07075997572792e-37
"SPI1",6.34234480773972e-42,0.489862035323282,0.712,0.571,2.13698965951982e-37
"TSC22D4",6.69260588564883e-42,-0.26401231253692,0.201,0.416,2.25500662711052e-37
"NUMA1",7.0364738137077e-42,-0.316123372059453,0.214,0.431,2.37086948679067e-37
"DDX46",7.69658416745449e-42,-0.411645531667025,0.353,0.61,2.59328706938212e-37
"CAND1",8.31316114533277e-42,-0.292810320232965,0.179,0.378,2.80103651630842e-37
"EIF5",8.31585685785183e-42,0.459630789979489,0.763,0.692,2.8019448096846e-37
"DDX5",8.66406926507021e-42,0.282820784225692,0.978,0.948,2.91927149817276e-37
"TM7SF3",1.02164950569068e-41,-0.277075436766254,0.19,0.397,3.44234584447418e-37
"NRDE2",1.37274205529524e-41,-0.300481952457745,0.15,0.337,4.62531708111179e-37
"CALR",1.47710976799942e-41,-0.660472932356966,0.53,0.704,4.97697365229724e-37
"PIM3",2.07893573849313e-41,0.640381919960333,0.535,0.391,7.00476607727876e-37
"STOML2",3.11455102858303e-41,-0.277225952496563,0.26,0.498,1.04941682357077e-36
"KIAA0907",3.40340177832349e-41,-0.254716454109637,0.088,0.235,1.14674219518832e-36
"GCA",3.41674224569615e-41,0.573550100390858,0.533,0.381,1.15123713226486e-36
"MRPS15",3.5538068540934e-41,-0.272657920784264,0.235,0.463,1.19741968141823e-36
"FAM60A",3.57432812380084e-41,-0.312353977547347,0.22,0.432,1.20433411803345e-36
