"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MRTO4",4.5599319884252e-42,-0.328604415381667,0.462,0.561,1.53642348417999e-37
"RBX1",6.25108516961245e-42,-0.337966403138476,0.82,0.804,2.10624063704922e-37
"UQCC2",1.33659010331407e-41,-0.378247296468535,0.575,0.646,4.50350669410641e-37
"MEG3",1.72547932803391e-41,0.25673164155753,0.112,0.028,5.81383004787745e-37
"CHID1",2.9720427122595e-41,-0.28111569065204,0.427,0.544,1.00140007146871e-36
"CENPH",4.61042355505167e-41,-0.258481714411853,0.307,0.441,1.55343611263911e-36
"LAMTOR2",4.61745045186097e-41,-0.314209801793024,0.581,0.658,1.55580375525003e-36
"PSMA4",4.63045889357522e-41,-0.293355521955347,0.841,0.822,1.56018681960123e-36
"TXN2",5.55574693987804e-41,-0.346124608714012,0.67,0.698,1.87195337392251e-36
"SRRM1",5.67972073138066e-41,-0.291927876322713,0.886,0.844,1.9137251032314e-36
"SET",5.79388466098323e-41,-0.25322757139434,0.966,0.917,1.95219149767169e-36
"RABL6",6.87370925918438e-41,-0.263788028526527,0.341,0.469,2.31602759778959e-36
"U2SURP",8.71437488359467e-41,-0.310722933009187,0.723,0.732,2.93622147327839e-36
"EIF3I",1.10618464802006e-40,-0.341978529752134,0.821,0.787,3.7271785530388e-36
"SSNA1",1.10635254627019e-40,-0.328641012464132,0.586,0.648,3.72774426940279e-36
"MRPL52",1.95814818702985e-40,-0.356224785154551,0.615,0.656,6.59778450137838e-36
"NDUFV2",5.0049406556073e-40,-0.340236279687486,0.822,0.789,1.68636470450032e-35
"PNKD",5.406259483948e-40,-0.265926917566921,0.527,0.623,1.82158507052144e-35
"TRMT112",6.95477804766082e-40,-0.32310138887293,0.857,0.824,2.34334291537884e-35
"RIF1",1.12394821772981e-39,-0.29459581097301,0.404,0.513,3.78703112481883e-35
"MRPL4",1.27613340448504e-39,-0.328227216021771,0.604,0.65,4.29980389307188e-35
"NDUFAF2",1.44783971191129e-39,-0.272049017029205,0.381,0.504,4.87835112531389e-35
"PRDX1",1.72480133656353e-39,-0.508330663909257,0.844,0.824,5.81154562341715e-35
"MATK",2.36070429566568e-39,-0.259940062476106,0.38,0.5,7.95415705381594e-35
"DDT",3.28966917304718e-39,-0.265113130683651,0.909,0.862,1.10842113116652e-34
"H2AFV",6.59331409202809e-39,-0.347666935300624,0.895,0.86,2.22155125016794e-34
"PNP",8.72942162789596e-39,-0.289619170296659,0.421,0.536,2.94129132330327e-34
"AES",1.67115778058803e-38,-0.393613500421624,0.67,0.739,5.63079902591332e-34
"ZNHIT1",5.35911555918649e-38,-0.297554173057738,0.725,0.741,1.8057003965123e-33
"S100A9",9.2075351719339e-38,-0.890125288155071,0.075,0.174,3.10238690083141e-33
"NAA10",9.21948557260359e-38,-0.320820646040897,0.572,0.632,3.10641346883305e-33
"PIN1",1.12315345589607e-37,-0.304608358289583,0.524,0.604,3.78435325429622e-33
"AHSA1",1.2164236199599e-37,-0.289631657086672,0.405,0.514,4.09861774509287e-33
"CDK4",1.25596077737133e-37,-0.33570962228299,0.616,0.666,4.23183424327495e-33
"JCHAIN",3.35950241668312e-37,-0.407521717663199,0.037,0.115,1.13195074427721e-32
"NDUFA6",1.41975334735015e-36,-0.370621245749114,0.673,0.704,4.78371692856159e-32
"RAB11FIP1",1.50067097450231e-36,-0.329296162215382,0.323,0.464,5.05636078148809e-32
"CWC15",1.68575027430738e-36,-0.289610918971941,0.571,0.636,5.6799669742513e-32
"PSMD8",4.16413140977346e-36,-0.335388390191669,0.808,0.774,1.40306243720907e-31
"SMC2",6.59175994922251e-36,-0.25500479589034,0.353,0.478,2.22102759729103e-31
"GLRX",7.71368621825209e-36,-0.531633020717241,0.586,0.643,2.59904943437786e-31
"RBM17",7.88647860297828e-36,-0.310613092200612,0.546,0.625,2.6572701004875e-31
"SPCS3",9.23230268673947e-36,-0.287159526394025,0.503,0.601,3.11073206727e-31
"DCTPP1",1.27340909100122e-35,-0.323959553698129,0.558,0.617,4.29062459121953e-31
"UROS",2.26172178619366e-35,-0.31164685591886,0.466,0.562,7.62064538640092e-31
"KLF2",2.42386879059365e-35,-0.295635711407155,0.304,0.435,8.16698350302623e-31
"SEC63",3.4316670452469e-35,-0.282127889266744,0.433,0.549,1.15626589422549e-30
"LRRC75A",3.92182694834843e-35,-0.317292695912241,0.527,0.601,1.32142037197652e-30
"EIF4A3",4.65324210654897e-35,-0.267312920647137,0.385,0.499,1.56786339538061e-30
"UQCRC1",5.60146049505884e-35,-0.281666437460288,0.654,0.696,1.88735609920513e-30
