"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"GBP2",1.6352590504748e-57,-0.295773221221727,0.207,0.373,5.5098418446698e-53
"C20orf27",2.32680076258445e-57,0.258158451194166,0.626,0.466,7.83992248945203e-53
"NPW",4.02376336562771e-57,0.382785333869218,0.722,0.551,1.3557668284146e-52
"ISOC2",5.62618313575171e-57,0.278252875187894,0.621,0.462,1.89568614576018e-52
"GSTO1",6.76902223898279e-57,0.254702267760859,0.891,0.769,2.28075435320286e-52
"SPOCK2",1.42728984243416e-56,-0.365950041991296,0.075,0.2,4.80911039509764e-52
"EIF3A",1.79594027702725e-56,0.286077572761332,0.9,0.795,6.0512411694156e-52
"DUT",2.1180698297838e-56,0.348605251495116,0.934,0.837,7.13662448447353e-52
"ERH",3.82569307545864e-56,0.271548709909897,0.912,0.807,1.28902902484503e-51
"HLA-F",9.40877758908126e-56,-0.451572994066356,0.44,0.569,3.17019352086504e-51
"TOPORS-AS1",1.24471146039486e-55,-0.31637660248752,0.397,0.537,4.19393079465443e-51
"HCST",1.42344783956213e-55,-0.755496989514951,0.291,0.451,4.79616515062064e-51
"PLIN2",2.317825450325e-55,0.277441224745517,0.548,0.391,7.80968107232505e-51
"TUBA1A",2.46942896832438e-55,-0.491651111012398,0.878,0.846,8.32049396587217e-51
"SLA",2.67997572146236e-55,-0.25690133507505,0.2,0.362,9.02991019589527e-51
"HSPD1",3.3885292866766e-55,0.293702822155896,0.953,0.864,1.14173105785281e-50
"CCT5",7.83334828856424e-55,0.265070919511025,0.847,0.721,2.63936837234884e-50
"RNU12",3.29320834246383e-54,-0.340004035893559,0.185,0.332,1.10961361890976e-49
"PTPRC",3.90075284228312e-54,-0.684812291566336,0.519,0.638,1.31431966267888e-49
"TMEM141",6.35205046876554e-54,0.252573080501543,0.499,0.328,2.14025988494586e-49
"NOP10",6.44403523282028e-54,0.340897402864668,0.862,0.743,2.17125323134647e-49
"ZFP36",7.69931580229358e-54,-0.3262549055827,0.223,0.378,2.5942074664248e-49
"CA1",9.03584520697872e-54,0.360233604930848,0.237,0.091,3.04453768403941e-49
"BTN3A2",1.975461583581e-53,-0.354912984604401,0.495,0.619,6.65612025971781e-49
"POU2F2",4.1146918982797e-53,-0.298405957389454,0.185,0.339,1.38640428820636e-48
"RSBN1",4.34994711708526e-53,-0.31856016194062,0.388,0.523,1.46567118163071e-48
"CKS2",1.82515049543893e-52,0.270412660547067,0.726,0.57,6.14966207933192e-48
"HES6",9.69336396091487e-52,0.317831704717454,0.266,0.123,3.26608205299066e-47
"SSB",1.04810218237612e-51,0.25520480912965,0.905,0.808,3.53147549329811e-47
"ARL6IP5",1.52152605883328e-51,-0.370874849688111,0.76,0.79,5.12662990263285e-47
"RP1-313I6.12",2.4474207031831e-51,-0.268414486857534,0.196,0.341,8.24633931730513e-47
"MCL1",3.27208929530233e-50,-0.413267039454642,0.735,0.769,1.10249776715917e-45
"PPP1R15A",4.29417669837227e-50,-0.40680204435169,0.749,0.786,1.44687989674955e-45
"APOE",5.90934002039498e-50,0.396277024736261,0.232,0.096,1.99109302647188e-45
"KCNH2",9.19047482298283e-50,0.406804902670555,0.301,0.15,3.09663858685584e-45
"EIF4A2",1.09740062235871e-49,-0.295595900966285,0.905,0.887,3.69758165697544e-45
"MYADM",3.82895111946474e-49,-0.39356477425444,0.52,0.624,1.29012679019245e-44
"ACAP1",4.32092798080134e-49,-0.436493906908217,0.614,0.701,1.4558934738512e-44
"GIMAP1",4.50983496336779e-49,-0.272076272087687,0.047,0.148,1.51954379255714e-44
"RBM39",4.80008632420884e-49,-0.317527127860837,0.926,0.921,1.61734108607893e-44
"PRDX2",8.76408441735578e-49,0.550771294435894,0.945,0.867,2.95297060358386e-44
"STRA13",1.06231633487357e-48,0.256946341428574,0.625,0.473,3.579368658723e-44
"TNRC6B",3.14005950902736e-48,-0.394928190618377,0.665,0.721,1.05801165097168e-43
"AVP",3.48252765151884e-48,0.530840966291636,0.495,0.348,1.17340286690276e-43
"TMEM107",2.6376010793199e-47,-0.268906899496808,0.221,0.355,8.88713307666046e-43
"PRELID1",4.73917160709192e-47,0.271002524915901,0.836,0.714,1.59681648129355e-42
"NDUFB1",4.32698857888972e-46,-0.263080149047648,0.805,0.8,1.4579355317711e-41
"FAM178B",5.19482747222825e-46,0.492402699050459,0.297,0.15,1.75034516849259e-41
"UPF2",1.64535076891654e-45,-0.31988557290728,0.584,0.659,5.54384488078738e-41
"IKZF2",3.27269760793233e-45,-0.261173317929478,0.136,0.265,1.10270273201672e-40
"LMNA",5.88265193390382e-45,0.321501302155225,0.304,0.162,1.98210074260955e-40
"INTS6",1.3357427039402e-44,-0.362322375672133,0.441,0.558,4.5006514666561e-40
"AZU1",1.64297151001585e-44,0.566831629200558,0.306,0.155,5.53582820584741e-40
"CD37",2.29028497287785e-44,-0.332965924783808,0.9,0.89,7.71688618761463e-40
"MPHOSPH8",3.53660537404552e-44,-0.346067761832988,0.737,0.78,1.1916238147309e-39
"HMGB1",4.22837084634091e-44,0.252413750997932,0.995,0.975,1.42470727296611e-39
"BEX1",5.58144879312317e-44,0.303409600724239,0.473,0.308,1.88061335635492e-39
"CENPF",1.00275690815546e-43,0.256647688033379,0.455,0.292,3.37868912633902e-39
"HMBS",1.88916815617426e-43,0.271470249411866,0.44,0.293,6.36536318541354e-39
"RNF145",2.08843613573621e-43,-0.286646419037742,0.271,0.4,7.0367767157496e-39
"HSPE1",2.63122487630236e-43,0.293273087080115,0.893,0.801,8.86564909821318e-39
"IGLL1",3.36336981445885e-43,0.420873386116494,0.709,0.562,1.13325382528377e-38
"GADD45B",3.38694672588695e-43,-0.340626561801839,0.182,0.315,1.14119782982035e-38
"GPSM3",7.3073730794307e-43,-0.399664067264966,0.594,0.68,2.46214628538338e-38
"KRTCAP2",9.63989548183637e-43,-0.291583085923493,0.726,0.754,3.24806638364995e-38
"RSRP1",2.41878497260806e-42,-0.402700555151363,0.636,0.713,8.1498540867056e-38
"CKS1B",3.06946049902383e-42,0.262093880796,0.552,0.397,1.03422402054109e-37
"PSMB9",1.8419600595388e-41,-0.310772327252981,0.753,0.806,6.20630022461004e-37
"CTSG",2.10955624456826e-41,0.29349898815147,0.247,0.12,7.10793881044829e-37
"AC090498.1",2.38210582973383e-41,-0.267953764423029,0.753,0.77,8.02626738270517e-37
"SON",2.46884080049355e-41,-0.277368723210816,0.912,0.895,8.31851219318297e-37
"PPP1R18",6.8826097470789e-41,-0.295787081546443,0.305,0.437,2.31902652818076e-36
"ARID5B",1.26338980327642e-40,-0.281192830981852,0.149,0.274,4.25686560315956e-36
"MT-ND3",4.32464318345125e-40,-0.293678268565771,0.983,0.992,1.45714527423206e-35
"PA2G4",7.72907047915055e-40,0.25159454889686,0.923,0.834,2.60423300724499e-35
"NEU1",7.78721210320727e-40,-0.308023333164933,0.289,0.415,2.62382324605466e-35
"HSD17B11",1.65956717940323e-39,-0.266203456602798,0.774,0.763,5.59174565428125e-35
"MT-ND4L",1.66786429209962e-39,-0.354366439260162,0.901,0.896,5.61970194580045e-35
"CD52",3.66654321208522e-39,-0.690633591553069,0.595,0.716,1.23540506987999e-34
"S100A6",6.09558629269021e-39,0.623734012228383,0.943,0.886,2.05384684545904e-34
"RCSD1",6.45840418206999e-39,-0.27491000614358,0.392,0.53,2.17609470510666e-34
"IQGAP1",3.16514751259396e-38,-0.281220276019202,0.364,0.482,1.06646480289341e-33
"TRAF3IP3",4.49148289057175e-38,-0.426999749861163,0.28,0.401,1.51336024514924e-33
"TNFAIP8",6.4357092048946e-38,-0.335030326009068,0.539,0.62,2.16844785949719e-33
"PLAC8",2.3945001762876e-37,-0.305298881934821,0.808,0.831,8.06802889398345e-33
"VAMP2",6.02758816850013e-37,-0.306003375705893,0.74,0.766,2.03093555749443e-32
"PIK3IP1",1.05103820883144e-36,-0.325780766508773,0.1,0.202,3.54136814083666e-32
"BZRAP1",1.1836673639166e-35,0.250677798248703,0.268,0.144,3.98824881598058e-31
"NRIP1",5.49716551017147e-35,-0.417681850529887,0.6,0.65,1.85221494699717e-30
