"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"BHLHE40",1.28370537004703e-39,0.255472369743315,0.305,0.191,4.32531687383646e-35
"MOB3A",1.81256436457218e-39,0.275218459312495,0.296,0.193,6.1072543699895e-35
"CAPNS1",2.29656481582487e-39,0.327727707190013,0.678,0.637,7.73804549044032e-35
"IL32",2.39339604039287e-39,-0.907494282020436,0.043,0.112,8.06430861849973e-35
"ELOVL5",3.67738450994684e-39,0.267811287670742,0.454,0.357,1.23905793678149e-34
"ATP6V1F",4.44400627320205e-39,0.305462712753035,0.748,0.731,1.4973634736927e-34
"SUB1",4.81053481429252e-39,-0.264966428670676,0.842,0.88,1.62086160032772e-34
"EP300",6.43038918141316e-39,0.263913106201498,0.461,0.36,2.16665533078535e-34
"IRF8",6.74335087376349e-39,-0.818309187304292,0.303,0.397,2.27210464340587e-34
"GPX4",8.70042903083688e-39,0.305578229249588,0.82,0.796,2.93152255765018e-34
"PYGL",1.77357032436926e-38,0.350527761677501,0.443,0.353,5.97586785092979e-34
"ANKRD12",2.86948698618025e-38,-0.31561584500928,0.577,0.711,9.66844945123572e-34
"TMBIM1",5.76899401132786e-38,0.25280099656205,0.267,0.163,1.94380484217681e-33
"DUSP22",5.93037086399351e-38,0.323313435835124,0.341,0.242,1.99817915891397e-33
"NPEPL1",6.65624802290386e-38,0.250537905690215,0.234,0.134,2.24275620883723e-33
"LYN",1.58697799256331e-37,0.351344292128944,0.602,0.538,5.34716364814281e-33
"HMGB2",2.32005031209943e-37,-0.555809395393522,0.713,0.776,7.81717752158783e-33
"PDXK",2.50313964443528e-37,0.284298171799928,0.386,0.295,8.43407871796022e-33
"GABPB1-AS1",3.33134877766228e-37,-0.250523853395846,0.439,0.58,1.12246465714553e-32
"YPEL5",3.38014284221253e-37,0.344640269704942,0.692,0.634,1.13890532925509e-32
"PRKACA",3.46811103475063e-37,0.254885332407954,0.248,0.151,1.16854533204888e-32
"AKAP13",3.7880545128678e-37,0.361541643652759,0.64,0.587,1.27634708756568e-32
"SNX18",5.73663802812437e-37,0.261868414316777,0.256,0.157,1.93290281719623e-32
"MGAT1",6.11981670549835e-37,0.359157094914708,0.545,0.481,2.06201104075062e-32
"PNPLA8",8.73202477677327e-37,0.287449798457118,0.349,0.248,2.94216842828599e-32
"MED13L",9.34483325163891e-37,-0.286187064765608,0.466,0.587,3.14864811580721e-32
"ADPGK",1.0481879274556e-36,0.317926738806215,0.493,0.407,3.53176440276888e-32
"CCDC88B",2.50723076821963e-36,0.274799011855927,0.321,0.214,8.44786335043924e-32
"HLA-B",3.07719285600257e-36,0.254850975800587,0.972,0.988,1.0368293609015e-31
"PRKAG2-AS1",4.26351478082465e-36,0.31163101840105,0.293,0.203,1.43654867025106e-31
"MAP3K2",4.57576578333138e-36,0.309004857763027,0.473,0.391,1.54175852303568e-31
"RAB1A",5.43410253257269e-36,0.3253615666487,0.458,0.378,1.83096650732504e-31
"RGS10",5.80508893334324e-36,0.502107519669462,0.688,0.675,1.95596666520067e-31
"FAM200B",6.19350303084129e-36,0.311294144761145,0.396,0.311,2.08683891121166e-31
"KYNU",9.14923477602276e-36,0.25117813231001,0.306,0.205,3.08274316543311e-31
"RAB13",1.01291325481966e-35,0.321744042839584,0.532,0.459,3.41290992078938e-31
"EHBP1L1",1.15565667493555e-35,0.369476805591571,0.367,0.266,3.89386960052786e-31
"PCIF1",1.44713265955812e-35,0.251844391463083,0.309,0.214,4.87596878311515e-31
"NAGA",2.1975790130112e-35,0.262751415585461,0.298,0.2,7.40452272643994e-31
"PKM",3.21657482317586e-35,0.511090625742194,0.752,0.715,1.08379272092087e-30
"TNFRSF14",6.14370944886605e-35,0.301911181745393,0.351,0.247,2.07006146170093e-30
"IMPDH1",9.29117280821715e-35,0.318760687165042,0.404,0.319,3.13056776600069e-30
"HLA-DRA",1.78393460121701e-34,0.40729345201117,0.936,0.928,6.01078924534061e-30
"C15orf39",2.17186096074911e-34,0.268549497440163,0.36,0.267,7.31786832114807e-30
"SQRDL",2.32055920854346e-34,0.258293893449538,0.357,0.269,7.81889219726632e-30
"PTK2B",2.56012387113357e-34,0.34647507350996,0.448,0.357,8.62608137139744e-30
"CPPED1",2.91835359688764e-34,0.30589609895214,0.35,0.256,9.83310060935321e-30
"PPP1R15B",3.1453688454591e-34,0.252641973305124,0.344,0.244,1.05980057878899e-29
"EIF4G2",3.16180078513298e-34,0.335600835245129,0.748,0.724,1.06533715654271e-29
"FAM91A1",6.72040910506884e-34,0.314897864855889,0.297,0.202,2.26437464386189e-29
"IFITM3",9.95746579482257e-34,0.406313750381797,0.603,0.53,3.35506852490752e-29
"TUBA4A",1.10442464408757e-33,0.335043315816825,0.294,0.186,3.72124839578866e-29
"MYH9",1.84128429026581e-33,0.305784056603917,0.62,0.567,6.20402328762163e-29
"SCPEP1",6.78511320619982e-33,0.287002768242912,0.374,0.274,2.28617604369697e-28
"SHKBP1",6.94105310765655e-33,0.310137497512509,0.521,0.456,2.3387184340938e-28
"ID1",1.16016502790097e-32,0.45675576765497,0.338,0.249,3.90906004500952e-28
"DPYD",1.44414212592287e-32,0.275463455689899,0.209,0.121,4.86589247908451e-28
"PPDPF",1.52072141254184e-32,0.28701477646537,0.728,0.713,5.12391872741847e-28
"CMTM3",1.3525986847029e-31,0.296973619219971,0.44,0.361,4.55744600823795e-27
"LRRFIP1",5.28450892652909e-31,0.306254720797289,0.822,0.819,1.78056243770471e-26
"KLF13",2.35915050223992e-30,0.272923507900122,0.489,0.414,7.94892170224719e-26
"TIPARP",3.7449450051225e-30,0.273967831077225,0.282,0.194,1.26182177002598e-25
"HLA-DRB1",4.9035744180431e-30,0.438415283464521,0.935,0.935,1.65221036441544e-25
"RILPL2",7.10543862734759e-30,0.317507521178659,0.649,0.606,2.3941064910985e-25
"IRAK3",1.17666517123509e-29,0.334915039300571,0.36,0.275,3.96465562795952e-25
"TPD52L2",1.56461327190204e-29,0.261917646165148,0.392,0.313,5.27180795834672e-25
"PIM3",1.7358661636809e-29,0.483965298993637,0.475,0.432,5.84882745190644e-25
"TMEM205",2.35473386798817e-29,0.287480426372409,0.57,0.512,7.93404029479933e-25
"CST7",2.84421546351267e-29,-0.346885559776999,0.131,0.218,9.58329958275957e-25
"CD9",2.88730583003855e-29,0.628583490832189,0.384,0.316,9.72848826373189e-25
"RNPEPL1",3.89385459440423e-29,0.270939515769524,0.49,0.423,1.31199536703856e-24
"SRA1",5.51380090481453e-29,0.329553761317378,0.473,0.413,1.85782007686821e-24
"NDRG1",9.48947347911495e-29,0.272275317740876,0.384,0.3,3.19738319405299e-24
"HCLS1",9.49255646842058e-29,0.327579115205261,0.672,0.638,3.19842197646963e-24
"GIMAP2",1.01023800949563e-28,0.26586638132717,0.254,0.169,3.40389594919459e-24
"CTDNEP1",1.15012670730312e-28,0.254498708194122,0.61,0.569,3.87523692758712e-24
"MIR222HG",1.95464062606563e-28,0.270633165632512,0.247,0.161,6.58596612546554e-24
"ITGB1",2.56061070936736e-28,0.263149698201044,0.546,0.49,8.62772172414238e-24
"MPP1",5.14483902103046e-28,0.356934557250141,0.494,0.429,1.733502059746e-23
"MEGF9",5.63864639690498e-28,0.26221565237562,0.218,0.137,1.89988551697316e-23
"HMHA1",8.58688995912119e-28,0.280444790835424,0.521,0.448,2.89326670282629e-23
"DENND6B",9.12010234499888e-28,0.281491532136512,0.344,0.27,3.07292728412392e-23
"FAM46A",9.36229942006754e-28,0.319395708446039,0.453,0.375,3.15453316659756e-23
"TACC1",9.7285575320841e-28,0.272654971731197,0.588,0.532,3.27794017486042e-23
